时间,交易对,时间周期,市场状态,操作,信号强度,当前价格,买入价,止盈价,止损价,止盈百分比,止损百分比,风险回报比,信号理由,RSI,ADX,MACD
2025-10-25 03:30:09,BTC/USDT,15m,RANGE,SELL,23,110941.71,110941.71,108722.87580000001,112605.83565,2.0,1.5,1.3333333333333421,价格接近布林上轨,58.710577605691384,13.876632605900763,9.664283922640607
2025-10-25 03:30:13,SNX/USDT,15m,TREND,BUY,40,1.288,1.288,1.32664,1.26868,3.0,1.5,2.0,MACD多头排列 | RSI健康(64.5) | 趋势明确(ADX:27.6),64.53614435629666,27.571749569583613,0.008979761330051073
2025-10-25 03:30:15,ZEC/USDT,15m,RANGE,SELL,36,264.06,264.06,258.7788,268.0209,2.0,1.5,1.3333333333333428,价格接近布林上轨,62.78636539314866,17.394119273349677,0.1878707577568548
2025-10-25 11:30:16,SUI/USDT:USDT,15m,TREND,BUY,40,2.5293,2.5293,2.605179,2.4913605,3.0,1.5,1.9999999999999882,处于上升趋势 | RSI健康(58.3) | 成交量确认(OBV上升) | ⚠️ 量价背离(假突破风险) | 趋势明确(ADX:26.4),58.26043491327366,26.405178764499407,0.005535764887611094
2025-10-25 11:30:22,NOM/USDT:USDT,15m,TREND,SELL,30,0.0213,0.0213,0.020661,0.021619499999999996,3.0,1.5,2.0000000000000218,处于下降趋势 | 趋势明确(ADX:26.4),73.88747518051177,26.43011043850734,0.0001348504095617896
2025-10-25 12:00:22,SUI/USDT:USDT,15m,TREND,SELL,40,2.5191,2.5191,2.443527,2.5568864999999996,3.0,1.5,2.0000000000000115,MACD空头排列 | RSI偏弱(50.1) | 趋势明确(ADX:27.1),50.14979939313974,27.098872147039746,0.004719303361139904
2025-10-25 12:15:27,SUI/USDT:USDT,15m,TREND,BUY,40,2.5271,2.5271,2.602913,2.4891935,3.0,1.5,2.0,处于上升趋势 | RSI健康(55.3) | 成交量确认(OBV上升) | ⚠️ 量价背离(假突破风险) | 趋势明确(ADX:26.7),55.30394167325478,26.717876670605953,0.004616199856229297
2025-10-25 12:15:34,NOM/USDT:USDT,15m,TREND,BUY,100,0.02123,0.02123,0.021866899999999998,0.020911549999999998,3.0,1.5,1.9999999999999891,EMA金叉(50上穿200) | MACD多头排列 | RSI健康(61.6) | 成交量确认(OBV上升) | 趋势明确(ADX:35.2),61.601738231116755,35.23234788757625,0.00022954606468851557
2025-10-25 12:30:11,BTC/USDT:USDT,15m,TREND,BUY,75,111241.6,111241.6,114578.84800000001,109572.97600000001,3.0,1.5,2.000000000000009,处于上升趋势 | MACD多头排列 | RSI健康(63.6) | 成交量确认(OBV上升) | 趋势明确(ADX:27.0),63.6272293352254,26.96033818592195,82.68026342264784
2025-10-25 12:45:25,SNX/USDT:USDT,15m,RANGE,BUY,35,1.249,1.249,1.2739800000000001,1.2302650000000002,2.0,1.5,1.3333333333333373,RSI偏低(31.7) | 价格接近布林下轨,31.707130137113737,17.96377773976906,-0.007551308972225668
2025-10-25 13:00:16,SUI/USDT:USDT,15m,TREND,SELL,40,2.5256,2.5256,2.449832,2.5634839999999994,3.0,1.5,2.0000000000000235,MACD空头排列 | RSI偏弱(53.8) | 趋势明确(ADX:27.0),53.763425980647426,27.00443204392696,0.00407869146797557
